sensor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
4,0.8252808470904508,0.0873353159427269,0.7156127237881597,2.0051076578785025,3.6660501056510415
5,0.7799410163821511,0.07919362247765283,0.6822746266490577,1.9396902487423422,4.125962748290516
6,0.7564130799348765,0.06700153701502472,0.657592790859914,1.9073319355584126,4.94914657220144
7,0.7678924012823733,0.06630798956245235,0.6565034603298486,2.0394559922700863,4.0932597949256095
8,0.7372261624833393,0.06057396310035608,0.6321579990957948,2.019516295073106,3.7289492351252425
9,0.7554951231924824,0.08278938450429806,0.6466733814075798,1.9889769787406404,4.07142066144734
10,0.7435707402142002,0.062300403769388564,0.6347736831113858,1.9727577330347317,4.53907213946499
