geometry,label,sensor_count,single_run_rmse_m,single_run_mean_error_m,single_run_max_error_m,single_run_mean_nlos_anchor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
G1_balanced_corner_coverage,G1 Balanced Corner Coverage,4,0.18386446543007204,0.16334770505820226,0.38119328690393856,0.0,0.21378312363713453,0.013438571516189296,0.1878986460886625,0.5134504065147093,4.348469889831957
G2_task_oriented_route_coverage,G2 Task-Oriented Route Coverage,4,0.4257901037220204,0.33901337141646043,1.6241023640120613,0.0,0.531681764412227,0.06801569333278389,0.4184777994854582,1.613473501301557,54.55674396928765
G3_poor_bottom_cluster,G3 Poor Bottom Cluster,4,0.3332421252487209,0.27820875975531534,1.015316701339436,0.0,0.33444626298983704,0.03951885566585298,0.2755079684995532,1.0151132407948154,28.446009998952512
G4_b3_wall_aware_coverage,G4 B3 Wall-Aware Coverage,4,0.23050454530768624,0.2035444673150829,0.6035458945983823,0.0,0.2780462419069832,0.03514060209426592,0.22529331710988032,1.0148535587459817,5.828946129323316
G5_left_bottom_b3_right,G5 Left-Bottom + B3-Right,4,0.21326386027506689,0.18465469701218962,0.5976179151468466,0.0,0.26098217617125946,0.028970018459473806,0.21637038501334846,0.8639886956308108,4.58608216079204
G6_right_bottom_b3_left,G6 Right-Bottom + B3-Left,4,0.21758474748211462,0.192148137244395,0.46006890651454246,0.0,0.22292834424406685,0.011311821736211989,0.196343313375333,0.5406579543190099,4.68019351528574
