sensor_count,single_run_rmse_m,single_run_mean_error_m,single_run_max_error_m,single_run_mean_nlos_anchor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
4,0.20995884331753095,0.1843894097826245,0.44000516787755284,0.0,0.2089663094048562,0.018398520069214924,0.1833912091694227,0.5093759755926113,4.348469889831957
5,0.21324679246172296,0.18396011850735275,0.5128434443304384,0.0,0.21118414547242675,0.015099498769390611,0.18496731456428772,0.513422595576,4.2179940996138905
6,0.21769002740013219,0.19045089030955323,0.52321440928229,0.0,0.20560845072221054,0.01254544178533735,0.18038887313296387,0.5224437388486111,4.7832316730522395
7,0.20830394044737638,0.18533317959393927,0.47915053111089284,0.0,0.2014577504710858,0.012366527402558414,0.17649607485118454,0.5092468485244231,6.38978229906839
8,0.19172546107829788,0.16763706105549303,0.4321780027597954,0.0,0.20278611890691706,0.017063391833151483,0.17510280584877178,0.5521154971572315,4.736844829886504
9,0.22823523595495585,0.19169618400696986,0.7117612148974075,0.0,0.19848203326456176,0.012725934704596717,0.171330889804301,0.5239978888097604,5.641325581137334
10,0.20748187273883464,0.16894531183890757,0.650031152410852,0.0,0.1984209850495633,0.014728165191509194,0.1712331451801719,0.49893466160531236,6.011428768367311
