geometry,label,sensor_count,single_run_rmse_m,single_run_mean_error_m,single_run_max_error_m,single_run_mean_nlos_anchor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
G1_balanced_corner_coverage,G1 Balanced Corner Coverage,4,1.001006506219837,0.8967282246320174,2.1827115035238323,3.2672413793103448,0.8524684936056597,0.08827557792633905,0.7411350553486091,2.15975226668783,4.348469889831957
G2_task_oriented_route_coverage,G2 Task-Oriented Route Coverage,4,1.4480642132573998,1.1367031980017694,3.7990380843691036,1.896551724137931,1.9955866988482955,1.3592137728644889,1.4535112327200863,6.113700861959942,54.55674396928765
G3_poor_bottom_cluster,G3 Poor Bottom Cluster,4,1.4976480025727763,1.3079960904363408,3.6714592141943574,3.6982758620689653,1.4507896109797926,0.31812320584399995,1.1778088012923433,4.380244585688554,28.446009998952512
G4_b3_wall_aware_coverage,G4 B3 Wall-Aware Coverage,4,0.5688969349987606,0.47633584424214304,1.3975705775231124,2.3793103448275863,0.9005784091689324,0.17014122027396125,0.7189210129084762,2.8644525825320977,5.828946129323316
G5_left_bottom_b3_right,G5 Left-Bottom + B3-Right,4,0.8502368186021713,0.7527827902280401,1.815245404905896,2.9827586206896552,0.8816965460384038,0.11640571106797845,0.7402453878508403,2.578605327865629,4.58608216079204
G6_right_bottom_b3_left,G6 Right-Bottom + B3-Left,4,0.7690460950331898,0.6576579968352484,1.9516743262770315,2.663793103448276,0.7373608882568727,0.08187146834209409,0.6255384987462569,1.9473265485916589,4.68019351528574
