sensor_count,single_run_rmse_m,single_run_mean_error_m,single_run_max_error_m,single_run_mean_nlos_anchor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
4,0.8225591800057845,0.7398089144130757,1.7056719352458132,3.2672413793103448,0.8472698301963906,0.07834087921972113,0.7308782343246563,2.130593944266416,4.348469889831957
5,0.8585867305099533,0.7555343756028722,1.784793563784531,3.6724137931034484,0.8042396252235094,0.08186050635121732,0.6865443855664036,2.033557960787199,4.2179940996138905
6,0.9128486927248938,0.779837565093301,2.333192392494468,3.7758620689655173,0.7863926716859785,0.08407494266337064,0.6687910354514762,2.0487309652574064,4.7832316730522395
7,0.7596959207446864,0.6091180080951718,3.56945796625254,4.327586206896552,0.7673042420510244,0.07216865546935959,0.6527138275183753,1.9767787237522845,6.38978229906839
8,0.7136473046292277,0.6086338312415875,1.6835427730760366,4.724137931034483,0.7255230560706329,0.06562509457711392,0.592261903537347,2.037721943217187,4.736844829886504
9,0.6768575313567545,0.55613938480993,1.9529454831202713,5.301724137931035,0.7185237596783453,0.09119294273152179,0.5901715149951935,2.013852674863424,5.641325581137334
10,0.715237832001457,0.5823517736501622,2.0317662554330758,5.405172413793103,0.7322261922112446,0.0927600227739614,0.5981657293457174,2.013638992206539,6.011428768367311
