sensor_count,single_run_rmse_m,single_run_mean_error_m,single_run_max_error_m,mean_nlos_anchor_count,mean_rmse_m,std_rmse_m,mean_error_m,max_error_m,mean_condition_number
4,0.8554404773903097,0.7630835266642215,2.030105613805845,3.2672413793103448,0.8154733853259458,0.08527682209614783,0.7046210295456197,2.0808447142024056,4.796217378361123
5,0.8448349133990602,0.7370443242759086,1.7136655573328183,4.267241379310345,0.8156639710862941,0.08320659388799463,0.7109156075641059,2.0201399256215824,4.8462506187814105
6,0.8512994711273414,0.7722439068301855,1.9147343354384248,4.75,0.7752484947237518,0.06064100148670621,0.6702710005971299,1.9319664817290607,6.186560787514554
7,0.9632560354820208,0.8126583983361599,2.3845181830395523,5.155172413793103,0.7974358498384667,0.08296247000513164,0.6875609802624372,2.032269733886195,5.7471258255447015
8,0.7186012885358283,0.6077198722684118,2.3249188384200474,6.155172413793103,0.7526871001203812,0.07412781360021119,0.6469786320845413,2.0040087699540954,4.847704988358645
9,0.8803386040315382,0.7178465612486428,2.9496692911883913,6.258620689655173,0.7584445630365929,0.05078348699620458,0.6550911341660876,1.8772969999289741,5.495153184194459
10,0.7736691457483573,0.6427528883999873,2.1371092522007302,6.827586206896552,0.7495503664240344,0.07517687518400332,0.6440860021152218,1.9358023397168374,6.3469680669169355
